-1587.66,1250
-1443.32,1000
-1587.66,750
-1876.34,750
-2020.68,1000
-1876.34,1250
,
-1443.34,1000
-1154.66,1000
-1010.32,750
-1154.66,500
-1443.34,500
-1587.68,750
-1443.34,1000
,
-1443.34,500
-1154.66,500
-1010.32,250
-1154.66,0
-1443.34,0
-1587.68,250
-1443.34,500
,
-1443.34,0
-1154.66,0
-1010.32,-250
-1154.66,-500
-1443.34,-500
-1587.68,-250
-1443.34,0
,
-1876.34,-250
-1587.66,-250
-1443.32,-500
-1587.66,-750
-1876.34,-750
-2020.68,-500
-1876.34,-250
,
-2309.34,-500
-2020.66,-500
-1876.32,-750
-2020.66,-1000
-2309.34,-1000
-2453.68,-750
-2309.34,-500
,
-2742.34,-250
-2453.66,-250
-2309.32,-500
-2453.66,-750
-2742.34,-750
-2886.68,-500
-2742.34,-250
,
-3175.34,0
-2886.66,0
-2742.32,-250
-2886.66,-500
-3175.34,-500
-3319.68,-250
-3175.34,0
,
-3175.34,500
-2886.66,500
-2742.32,250
-2886.66,0
-3175.34,0
-3319.68,250
-3175.34,500
,
-3175.34,1000
-2886.66,1000
-2742.32,750
-2886.66,500
-3175.34,500
-3319.68,750
-3175.34,1000
,
-2742.34,1250
-2453.66,1250
-2309.32,1000
-2453.66,750
-2742.34,750
-2886.68,1000
-2742.34,1250
